,depth,Temp,Conductivity,Salinity,Sound Velocity,Density
0,0.0,26.894,11.854,6.493,1508.65,1001.41
1,1.0,26.276,51.134,30.788,1534.93,1021.19
2,2.0,26.269,51.49,32.901,1535.21,1021.4
3,3.0,26.279,51.528,32.948,1535.27,1021.41
4,4.0,26.269,51.541,32.958,1535.28,1021.43
5,5.0,26.254,51.534,32.96,1535.27,1021.44
6,6.0,26.249,51.526,32.964,1535.27,1021.45
7,7.0,26.219,51.511,32.97,1535.23,1021.47
8,8.0,26.194,51.496,32.973,1535.2,1021.48
9,9.0,26.178,51.47,32.976,1535.16,1021.49
10,10.0,26.138,51.436,32.981,1535.09,1021.51
11,11.0,26.135,51.44,32.985,1535.11,1021.52
12,12.0,25.979,51.336,33.026,1534.8,1021.6
13,13.0,25.82,51.431,33.216,1534.64,1021.79
14,14.0,25.706,51.707,33.437,1534.69,1022.04
15,15.0,25.673,51.699,33.501,1534.64,1022.07
16,16.0,25.458,51.49,33.49,1534.15,1022.15
17,17.0,25.029,50.932,33.397,1533.03,1022.21
18,18.0,24.506,50.204,33.252,1531.61,1022.26
19,19.0,23.865,49.428,33.184,1529.93,1022.37
20,20.0,23.722,49.354,33.209,1529.64,1022.45
21,21.0,23.712,49.375,33.241,1529.66,1022.47
22,22.0,23.884,49.709,33.386,1530.24,1022.53
23,23.0,24.689,51.367,33.888,1532.93,1022.77
24,24.0,25.538,52.667,34.277,1535.34,1022.76
25,25.0,25.568,52.718,34.32,1535.44,1022.76
26,26.0,25.558,52.719,34.329,1535.44,1022.78
27,27.0,25.558,52.748,34.348,1535.48,1022.8
28,28.0,25.538,52.754,34.372,1535.47,1022.82
29,29.0,25.48,52.748,34.389,1535.39,1022.87
30,30.0,25.389,52.646,34.386,1535.18,1022.9
31,31.0,25.204,52.369,34.335,1534.69,1022.92
32,32.0,24.944,52.041,34.296,1534.03,1022.96
33,33.0,24.932,52.069,34.31,1534.05,1022.99
34,34.0,24.819,51.889,34.268,1533.74,1023.0
35,35.0,24.494,51.46,34.195,1532.89,1023.04
36,36.0,24.298,51.206,34.155,1532.38,1023.07
37,37.0,24.193,51.074,34.141,1532.11,1023.09
38,38.0,24.175,51.047,34.135,1532.08,1023.1
39,39.0,24.153,51.013,34.126,1532.03,1023.1
40,40.0,24.143,51.007,34.121,1532.03,1023.12
41,41.0,23.956,50.778,34.107,1531.55,1023.15
42,42.0,23.584,50.455,34.124,1530.68,1023.29
43,43.0,23.532,50.41,34.145,1530.57,1023.31
44,44.0,23.422,50.315,34.16,1530.32,1023.36
45,45.0,23.429,50.38,34.201,1530.4,1023.4
46,46.0,23.536,50.576,34.287,1530.76,1023.42
47,47.0,23.826,51.134,34.425,1531.72,1023.49
48,48.0,23.986,51.36,34.509,1532.19,1023.48
49,49.0,24.045,51.466,34.543,1532.39,1023.5
50,50.0,24.085,51.551,34.573,1532.54,1023.52
51,51.0,24.094,51.587,34.592,1532.6,1023.53
52,52.0,24.094,51.587,34.598,1532.62,1023.54
53,53.0,24.085,51.587,34.603,1532.62,1023.55
54,54.0,24.075,51.587,34.608,1532.62,1023.56
55,55.0,24.075,51.602,34.617,1532.65,1023.57
56,56.0,24.085,51.611,34.622,1532.69,1023.58
57,57.0,24.075,51.617,34.625,1532.69,1023.59
58,58.0,23.971,51.498,34.624,1532.44,1023.62
59,59.0,23.869,51.396,34.625,1532.2,1023.65
60,60.0,23.83,51.346,34.616,1532.12,1023.66
61,61.0,23.729,51.235,34.607,1531.88,1023.69
62,62.0,23.663,51.164,34.611,1531.73,1023.71
63,63.0,23.624,51.149,34.622,1531.66,1023.74
64,64.0,23.543,51.069,34.627,1531.48,1023.77
65,65.0,23.465,50.979,34.619,1531.29,1023.8
66,66.0,23.322,50.773,34.602,1530.9,1023.81
67,67.0,23.231,50.722,34.601,1530.72,1023.86
68,68.0,23.159,50.636,34.601,1530.54,1023.88
69,69.0,23.117,50.606,34.606,1530.46,1023.9
70,70.0,23.052,50.521,34.595,1530.3,1023.92
71,71.0,22.929,50.395,34.594,1530.0,1023.95
72,72.0,22.786,50.274,34.608,1529.67,1024.01
73,73.0,22.683,50.163,34.609,1529.42,1024.04
74,74.0,22.566,50.048,34.611,1529.14,1024.09
75,75.0,22.495,49.972,34.605,1528.97,1024.11
76,76.0,22.353,49.81,34.593,1528.6,1024.14
77,77.0,22.191,49.634,34.588,1528.18,1024.18
78,78.0,22.088,49.534,34.587,1527.94,1024.22
79,79.0,21.746,49.197,34.6,1527.06,1024.33
80,80.0,21.608,49.098,34.619,1526.75,1024.39
81,81.0,21.52,49.006,34.62,1526.53,1024.42
82,82.0,21.341,48.791,34.608,1526.04,1024.45
83,83.0,21.178,48.63,34.605,1525.61,1024.51
84,84.0,21.156,48.628,34.612,1525.6,1024.53
85,85.0,21.128,48.6,34.616,1525.54,1024.54
86,86.0,21.089,48.557,34.614,1525.44,1024.55
87,87.0,21.041,48.507,34.608,1525.33,1024.57
88,88.0,20.998,48.448,34.598,1525.22,1024.58
89,89.0,20.73,48.196,34.609,1524.52,1024.67
90,90.0,20.656,48.144,34.629,1524.36,1024.7
91,91.0,20.615,48.108,34.631,1524.27,1024.72
92,92.0,20.525,47.997,34.623,1524.02,1024.73
93,93.0,20.388,47.856,34.606,1523.66,1024.77
94,94.0,20.17,47.545,34.566,1522.99,1024.78
95,95.0,20.029,47.408,34.533,1522.62,1024.82
96,96.0,19.883,47.207,34.502,1522.18,1024.83
97,97.0,19.756,47.061,34.487,1521.83,1024.86
98,98.0,19.705,47.015,34.485,1521.71,1024.88
99,99.0,19.621,46.91,34.479,1521.47,1024.89
100,100.0,19.565,46.853,34.474,1521.33,1024.91
101,101.0,19.503,46.788,34.471,1521.16,1024.93
102,102.0,19.421,46.707,34.471,1520.95,1024.96
103,103.0,19.335,46.639,34.478,1520.74,1024.99
104,104.0,19.316,46.627,34.486,1520.71,1025.0
105,105.0,19.307,46.624,34.491,1520.71,1025.02
106,106.0,19.288,46.61,34.498,1520.67,1025.03
107,107.0,19.247,46.578,34.502,1520.58,1025.05
108,108.0,19.221,46.548,34.501,1520.52,1025.06
109,109.0,19.202,46.533,34.499,1520.49,1025.07
110,110.0,19.183,46.512,34.498,1520.45,1025.08
111,111.0,19.148,46.473,34.498,1520.36,1025.09
112,112.0,19.125,46.458,34.5,1520.32,1025.1
113,113.0,19.117,46.443,34.5,1520.31,1025.1
114,114.0,19.108,46.443,34.5,1520.31,1025.12
115,115.0,19.077,46.413,34.503,1520.24,1025.13
116,116.0,19.041,46.382,34.508,1520.16,1025.14
117,117.0,19.003,46.352,34.513,1520.07,1025.16
118,118.0,18.962,46.317,34.515,1519.98,1025.18
119,119.0,18.839,46.191,34.522,1519.64,1025.22
120,120.0,18.757,46.14,34.535,1519.45,1025.26
121,121.0,18.706,46.096,34.537,1519.32,1025.28
122,122.0,18.608,45.99,34.537,1519.05,1025.31
123,123.0,18.518,45.9,34.543,1518.81,1025.33
124,124.0,18.468,45.861,34.547,1518.69,1025.36
125,125.0,18.427,45.824,34.548,1518.59,1025.37
126,126.0,18.367,45.764,34.55,1518.43,1025.39
127,127.0,18.335,45.734,34.55,1518.36,1025.41
128,128.0,18.303,45.704,34.55,1518.28,1025.42
129,129.0,18.271,45.673,34.551,1518.21,1025.43
130,130.0,18.237,45.643,34.552,1518.13,1025.44
131,131.0,18.228,45.628,34.552,1518.11,1025.45
132,132.0,18.209,45.613,34.551,1518.08,1025.46
133,133.0,18.181,45.584,34.549,1518.01,1025.47
134,134.0,18.181,45.583,34.55,1518.03,1025.47
135,135.0,18.171,45.583,34.552,1518.02,1025.49
136,136.0,18.143,45.553,34.55,1517.96,1025.49
137,137.0,18.12,45.523,34.55,1517.9,1025.5
138,138.0,18.069,45.477,34.55,1517.77,1025.52
139,139.0,18.048,45.459,34.549,1517.73,1025.53
140,140.0,17.996,45.408,34.55,1517.59,1025.55
141,141.0,17.955,45.357,34.548,1517.48,1025.56
142,142.0,17.907,45.326,34.55,1517.37,1025.58
143,143.0,17.897,45.311,34.554,1517.35,1025.59
144,144.0,17.869,45.295,34.557,1517.3,1025.61
145,145.0,17.817,45.229,34.553,1517.15,1025.61
146,146.0,17.757,45.176,34.549,1516.99,1025.64
147,147.0,17.735,45.145,34.548,1516.94,1025.64
148,148.0,17.728,45.145,34.547,1516.94,1025.65
149,149.0,17.671,45.07,34.541,1516.77,1025.65
150,150.0,17.586,44.988,34.539,1516.54,1025.69
151,151.0,17.549,44.952,34.54,1516.44,1025.69
152,152.0,17.5,44.904,34.538,1516.32,1025.71
153,153.0,17.449,44.859,34.541,1516.18,1025.73
154,154.0,17.445,44.859,34.545,1516.19,1025.74
155,155.0,17.426,44.844,34.547,1516.15,1025.75
156,156.0,17.417,44.844,34.548,1516.15,1025.76
157,157.0,17.407,44.829,34.548,1516.13,1025.77
158,158.0,17.384,44.806,34.548,1516.08,1025.78
159,159.0,17.341,44.753,34.546,1515.96,1025.78
160,160.0,17.288,44.703,34.543,1515.82,1025.8
161,161.0,17.159,44.577,34.538,1515.45,1025.84
162,162.0,17.077,44.497,34.541,1515.23,1025.86
163,163.0,17.04,44.467,34.547,1515.14,1025.88
164,164.0,17.004,44.436,34.547,1515.05,1025.9
165,165.0,16.941,44.357,34.541,1514.86,1025.9
166,166.0,16.827,44.245,34.526,1514.53,1025.93
167,167.0,16.482,43.861,34.505,1513.46,1025.99
168,168.0,16.34,43.75,34.513,1513.07,1026.05
169,169.0,16.308,43.714,34.516,1512.98,1026.05
170,170.0,16.27,43.682,34.515,1512.89,1026.07
171,171.0,16.251,43.657,34.514,1512.84,1026.07
172,172.0,16.222,43.622,34.512,1512.76,1026.08
173,173.0,16.185,43.592,34.512,1512.67,1026.1
174,174.0,16.138,43.547,34.51,1512.54,1026.11
175,175.0,16.07,43.486,34.511,1512.35,1026.14
176,176.0,15.991,43.411,34.515,1512.13,1026.16
177,177.0,15.96,43.381,34.521,1512.05,1026.17
178,178.0,15.95,43.381,34.523,1512.05,1026.19
179,179.0,15.922,43.35,34.522,1511.97,1026.19
180,180.0,15.894,43.325,34.526,1511.9,1026.2
181,181.0,15.885,43.32,34.529,1511.9,1026.22
182,182.0,15.875,43.305,34.528,1511.87,1026.22
183,183.0,15.866,43.29,34.523,1511.86,1026.22
184,184.0,15.857,43.291,34.523,1511.85,1026.23
185,185.0,15.825,43.255,34.521,1511.77,1026.24
186,186.0,15.762,43.188,34.519,1511.58,1026.25
187,187.0,15.733,43.167,34.52,1511.52,1026.27
188,188.0,15.691,43.13,34.521,1511.41,1026.29
189,189.0,15.631,43.064,34.517,1511.23,1026.3
190,190.0,15.562,42.997,34.517,1511.03,1026.32
191,191.0,15.484,42.916,34.516,1510.8,1026.34
192,192.0,15.415,42.853,34.515,1510.6,1026.36
193,193.0,15.372,42.807,34.513,1510.48,1026.38
194,194.0,15.32,42.747,34.51,1510.32,1026.38
195,195.0,15.219,42.649,34.503,1510.02,1026.41
196,196.0,15.034,42.449,34.492,1509.43,1026.44
197,197.0,14.88,42.325,34.498,1508.98,1026.5
198,198.0,14.829,42.258,34.499,1508.82,1026.5
199,199.0,14.729,42.174,34.501,1508.53,1026.53
200,200.0,14.712,42.159,34.503,1508.5,1026.54
201,201.0,14.702,42.159,34.507,1508.49,1026.56
202,202.0,14.712,42.165,34.508,1508.54,1026.55
203,203.0,14.712,42.159,34.507,1508.54,1026.56
204,204.0,14.7,42.144,34.502,1508.52,1026.56
205,205.0,14.649,42.098,34.496,1508.38,1026.58
206,206.0,14.494,41.931,34.492,1507.88,1026.6
207,207.0,14.425,41.872,34.495,1507.68,1026.63
208,208.0,14.394,41.843,34.493,1507.6,1026.64
209,209.0,14.308,41.767,34.495,1507.34,1026.67
210,210.0,14.214,41.656,34.489,1507.04,1026.68
211,211.0,14.109,41.57,34.488,1506.73,1026.71
212,212.0,14.087,41.555,34.494,1506.68,1026.73
213,213.0,14.055,41.525,34.491,1506.59,1026.74
214,214.0,13.975,41.435,34.488,1506.34,1026.76
215,215.0,13.942,41.42,34.491,1506.26,1026.77
216,216.0,13.902,41.369,34.488,1506.14,1026.78
217,217.0,13.848,41.314,34.484,1505.97,1026.79
218,218.0,13.79,41.254,34.484,1505.8,1026.8
219,219.0,13.764,41.239,34.484,1505.74,1026.82
220,220.0,13.725,41.192,34.477,1505.62,1026.83
221,221.0,13.6,41.058,34.47,1505.21,1026.85
222,222.0,13.482,40.952,34.471,1504.84,1026.88
223,223.0,13.423,40.892,34.47,1504.66,1026.89
224,224.0,13.351,40.816,34.468,1504.43,1026.91
225,225.0,13.332,40.801,34.467,1504.39,1026.92
226,226.0,13.323,40.801,34.469,1504.38,1026.93
227,227.0,13.313,40.786,34.469,1504.36,1026.93
228,228.0,13.28,40.756,34.465,1504.27,1026.95
229,229.0,13.239,40.712,34.463,1504.14,1026.96
230,230.0,13.229,40.711,34.466,1504.14,1026.97
231,231.0,13.229,40.698,34.465,1504.14,1026.96
232,232.0,13.229,40.696,34.461,1504.15,1026.97
233,233.0,13.229,40.706,34.464,1504.18,1026.98
234,234.0,13.219,40.696,34.464,1504.16,1026.98
235,235.0,13.219,40.696,34.464,1504.18,1026.99
236,236.0,13.201,40.68,34.464,1504.14,1027.0
237,237.0,13.191,40.665,34.463,1504.11,1027.0
238,238.0,13.182,40.652,34.463,1504.09,1027.0
239,239.0,13.16,40.635,34.46,1504.04,1027.01
240,240.0,13.125,40.605,34.46,1503.95,1027.03
241,241.0,13.086,40.572,34.458,1503.83,1027.04
242,242.0,12.997,40.469,34.45,1503.54,1027.05
243,243.0,12.888,40.347,34.445,1503.17,1027.06
244,244.0,12.797,40.288,34.449,1502.91,1027.11
245,245.0,12.787,40.273,34.445,1502.89,1027.11
246,246.0,12.717,40.191,34.439,1502.65,1027.12
247,247.0,12.674,40.153,34.44,1502.53,1027.13
248,248.0,12.656,40.137,34.44,1502.48,1027.14
249,249.0,12.637,40.122,34.44,1502.44,1027.15
250,250.0,12.599,40.089,34.439,1502.33,1027.17
251,251.0,12.58,40.062,34.439,1502.27,1027.17
252,252.0,12.552,40.047,34.438,1502.21,1027.18
253,253.0,12.543,40.032,34.437,1502.19,1027.19
254,254.0,12.524,40.017,34.438,1502.14,1027.2
255,255.0,12.505,39.994,34.433,1502.09,1027.21
256,256.0,12.505,39.987,34.433,1502.1,1027.2
257,257.0,12.496,39.987,34.437,1502.09,1027.21
258,258.0,12.467,39.956,34.434,1502.01,1027.22
259,259.0,12.436,39.926,34.431,1501.91,1027.23
260,260.0,12.413,39.911,34.43,1501.87,1027.24
261,261.0,12.392,39.881,34.43,1501.8,1027.24
262,262.0,12.383,39.866,34.428,1501.78,1027.24
263,263.0,12.373,39.866,34.43,1501.77,1027.26
264,264.0,12.349,39.836,34.428,1501.7,1027.27
265,265.0,12.326,39.821,34.427,1501.64,1027.28
266,266.0,12.275,39.76,34.424,1501.47,1027.29
267,267.0,12.251,39.745,34.425,1501.41,1027.29
268,268.0,12.242,39.745,34.427,1501.41,1027.31
269,269.0,12.232,39.73,34.423,1501.38,1027.31
270,270.0,12.204,39.7,34.42,1501.3,1027.32
271,271.0,12.187,39.685,34.421,1501.26,1027.33
272,272.0,12.173,39.67,34.423,1501.23,1027.33
273,273.0,12.141,39.64,34.422,1501.14,1027.34
274,274.0,12.129,39.627,34.42,1501.1,1027.34
275,275.0,12.119,39.625,34.421,1501.1,1027.36
276,276.0,12.109,39.609,34.421,1501.07,1027.36
277,277.0,12.091,39.594,34.419,1501.03,1027.37
278,278.0,12.081,39.578,34.416,1501.01,1027.37
279,279.0,12.015,39.503,34.408,1500.78,1027.38
280,280.0,11.893,39.398,34.403,1500.39,1027.41
281,281.0,11.781,39.279,34.399,1500.01,1027.43
282,282.0,11.705,39.217,34.401,1499.77,1027.46
283,283.0,11.676,39.187,34.403,1499.69,1027.46
284,284.0,11.649,39.159,34.402,1499.61,1027.47
285,285.0,11.607,39.122,34.398,1499.48,1027.49
286,286.0,11.554,39.066,34.396,1499.31,1027.49
287,287.0,11.516,39.032,34.396,1499.19,1027.51
288,288.0,11.497,39.006,34.395,1499.13,1027.51
289,289.0,11.488,39.006,34.397,1499.13,1027.52
290,290.0,11.488,39.006,34.399,1499.14,1027.53
291,291.0,11.478,38.991,34.397,1499.12,1027.53
292,292.0,11.469,38.991,34.395,1499.11,1027.54
293,293.0,11.439,38.961,34.394,1499.03,1027.55
294,294.0,11.407,38.931,34.393,1498.93,1027.56
295,295.0,11.365,38.885,34.391,1498.79,1027.57
296,296.0,11.327,38.855,34.389,1498.68,1027.58
297,297.0,11.318,38.84,34.387,1498.66,1027.58
298,298.0,11.28,38.81,34.387,1498.55,1027.6
299,299.0,11.271,38.795,34.386,1498.53,1027.6
